Date,Position [Encoder Input Ch:0 -> ENC1001 -> HUB0002 Port:0 S/N:750804]
30:03.3,11089
30:03.5,11089
30:03.7,11089
30:03.9,11089
30:04.1,11089
30:04.3,11089
30:04.5,11089
30:04.7,11089
30:04.9,11089
30:05.1,11089
30:05.3,11089
30:05.5,11089
30:05.7,11089
30:05.9,11089
30:06.1,11089
30:06.3,11089
30:06.5,11089
30:06.7,11089
30:06.9,11089
30:07.1,11089
30:07.3,11089
30:07.5,11089
30:07.7,11089
30:07.9,11089
30:08.1,11089
30:08.3,11089
30:08.5,11089
30:08.7,11089
30:08.9,11089
30:09.1,11089
30:09.3,11089
30:09.5,11089
30:09.7,11089
30:09.9,11089
30:10.1,11089
30:10.3,11089
30:10.5,11089
30:10.7,11089
30:10.9,11089
30:11.1,11089
30:11.3,11089
30:11.5,11089
30:11.7,11089
30:11.9,11089
30:12.1,11089
30:12.3,11089
30:12.5,11089
30:12.7,11089
30:12.9,11089
30:13.1,11089
30:13.3,11089
30:13.5,11089
30:13.7,11089
30:13.9,11089
30:14.1,11089
30:14.3,11089
30:14.5,11089
30:14.7,11089
30:14.9,11089
30:15.1,11089
30:15.3,11089
30:15.5,11089
30:15.7,11089
30:15.9,11089
30:16.1,11089
30:16.3,11089
30:16.5,11089
30:16.7,11089
30:16.9,11089
30:17.1,11089
30:17.3,11089
30:17.5,11089
30:17.7,11089
30:17.9,11089
30:18.1,11089
30:18.3,11089
30:18.5,11089
30:18.7,11089
30:18.9,11089
30:19.1,11089
30:19.3,11089
30:19.5,11089
30:19.7,11089
30:19.9,11089
30:20.1,11089
30:20.3,11089
30:20.5,11089
30:20.7,11089
30:20.9,11089
30:21.1,11089
30:21.3,11089
30:21.5,11089
30:21.7,11089
30:21.9,11089
30:22.1,11089
30:22.3,11089
30:22.5,11089
30:22.7,11089
30:22.9,11089
30:23.1,11089
30:23.3,11089
30:23.5,11089
30:23.7,11089
30:23.9,11089
30:24.1,11089
30:24.3,11089
30:24.5,11089
30:24.7,11089
30:24.9,11089
30:25.1,11089
30:25.3,11089
30:25.5,11089
30:25.7,11089
30:25.9,11089
30:26.1,11089
30:26.3,11089
30:26.5,11089
30:26.7,11089
30:26.9,11089
30:27.1,11089
30:27.3,11089
30:27.5,11089
30:27.7,11089
30:27.9,11089
30:28.1,11089
30:28.3,11089
30:28.5,11089
30:28.7,11089
30:28.9,11089
30:29.1,11089
30:29.3,11089
30:29.5,11089
30:29.7,11089
30:29.9,11326
30:30.1,11617
30:30.3,11913
30:30.5,12167
30:30.7,12426
30:30.9,12763
30:31.1,13085
30:31.3,13375
30:31.5,13613
30:31.7,13860
30:31.9,14168
30:32.1,14502
30:32.3,14793
30:32.5,15026
30:32.7,15268
30:32.9,15571
30:33.1,15900
30:33.3,16199
30:33.5,16444
30:33.7,16687
30:33.9,16988
30:34.1,17322
30:34.3,17629
30:34.5,17884
30:34.7,18137
30:34.9,18450
30:35.1,18792
30:35.3,19101
30:35.5,19359
30:35.7,19623
30:35.9,19949
30:36.1,20290
30:36.3,20593
30:36.5,20854
30:36.7,21138
30:36.9,21479
30:37.1,21821
30:37.3,22112
30:37.5,22374
30:37.7,22680
30:37.9,22996
30:38.1,22996
30:38.3,22996
30:38.5,22996
30:38.7,22996
30:38.9,22996
30:39.1,22996
30:39.3,22996
30:39.5,22996
30:39.7,22996
30:39.9,22996
30:40.1,22996
30:40.3,22996
30:40.5,22996
30:40.7,22996
30:40.9,22996
30:41.1,22969
30:41.3,22664
30:41.5,22344
30:41.7,22058
30:41.9,21757
30:42.1,21412
30:42.3,21101
30:42.5,20787
30:42.7,20539
30:42.9,20240
30:43.1,19915
30:43.3,19602
30:43.5,19316
30:43.7,19060
30:43.9,18759
30:44.1,18422
30:44.3,18114
30:44.5,17828
30:44.7,17563
30:44.9,17244
30:45.1,16909
30:45.3,16600
30:45.5,16327
30:45.7,16058
30:45.9,15732
30:46.1,15411
30:46.3,15099
30:46.5,14831
30:46.7,14540
30:46.9,14199
30:47.1,13873
30:47.3,13572
30:47.5,13319
30:47.7,13030
30:47.9,12707
30:48.1,12404
30:48.3,12124
30:48.5,11903
30:48.7,11653
30:48.9,11359
30:49.1,11083
30:49.3,11022
30:49.5,11022
30:49.7,11022
30:49.9,11022
30:50.1,11022
30:50.3,11022
30:50.5,11022
30:50.7,11022
30:50.9,11022
30:51.1,11022
30:51.3,11022
30:51.5,11022
30:51.7,11022
30:51.9,11022
30:52.1,11022
30:52.3,11089
30:52.5,11369
30:52.7,11675
30:52.9,11977
30:53.1,12258
30:53.3,12565
30:53.5,12907
30:53.7,13227
30:53.9,13508
30:54.1,13769
30:54.2,14081
30:54.4,14416
30:54.6,14728
30:54.8,14987
30:55.0,15242
30:55.2,15557
30:55.4,15889
30:55.6,16189
30:55.8,16446
30:56.0,16708
30:56.2,17019
30:56.4,17358
30:56.6,17662
30:56.8,17924
30:57.0,18202
30:57.2,18532
30:57.4,18871
30:57.6,19171
30:57.8,19441
30:58.0,19736
30:58.2,20076
30:58.4,20410
30:58.6,20707
30:58.8,20983
30:59.0,21308
30:59.2,21655
30:59.4,21980
30:59.6,22261
30:59.8,22554
31:00.0,22892
31:00.2,23001
31:00.4,23001
31:00.6,23001
31:00.8,23001
31:01.0,23001
31:01.2,23001
31:01.4,23001
31:01.6,23001
31:01.8,23001
31:02.0,23001
31:02.2,23001
31:02.4,23001
31:02.6,23001
31:02.8,23001
31:03.0,23001
31:03.2,23001
31:03.4,22913
31:03.6,22623
31:03.8,22296
31:04.0,22001
31:04.2,21676
31:04.4,21338
31:04.6,21015
31:04.8,20712
31:05.0,20449
31:05.2,20133
31:05.4,19802
31:05.6,19495
31:05.8,19215
31:06.0,18942
31:06.2,18612
31:06.4,18287
31:06.6,17980
31:06.8,17705
31:07.0,17410
31:07.2,17071
31:07.4,16747
31:07.6,16448
31:07.8,16186
31:08.0,15880
31:08.2,15547
31:08.4,15229
31:08.6,14939
31:08.8,14666
31:09.0,14343
31:09.2,14008
31:09.4,13688
31:09.6,13411
31:09.8,13140
31:10.0,12818
31:10.2,12507
31:10.4,12221
31:10.6,11969
31:10.8,11729
31:11.0,11447
31:11.2,11159
31:11.4,11039
31:11.6,11039
31:11.8,11039
31:12.0,11039
31:12.2,11039
31:12.4,11039
31:12.6,11039
31:12.8,11039
31:13.0,11039
31:13.2,11039
31:13.4,11039
31:13.6,11039
31:13.8,11039
31:14.0,11039
31:14.2,11039
31:14.4,11039
31:14.6,11158
31:14.8,11428
31:15.0,11730
31:15.2,12023
31:15.4,12307
31:15.6,12631
31:15.8,12968
31:16.0,13282
31:16.2,13559
31:16.4,13837
31:16.6,14159
31:16.8,14490
31:17.0,14788
31:17.2,15047
31:17.4,15322
31:17.6,15643
31:17.8,15968
31:18.0,16257
31:18.2,16513
31:18.4,16800
31:18.6,17120
31:18.8,17450
31:19.0,17738
31:19.2,18007
31:19.4,18303
31:19.6,18633
31:19.8,18962
31:20.0,19253
31:20.2,19525
31:20.4,19841
31:20.6,20182
31:20.8,20504
31:21.0,20793
31:21.2,21080
31:21.4,21415
31:21.6,21761
31:21.8,22070
31:22.0,22353
31:22.2,22664
31:22.4,22985
31:22.6,22987
31:22.8,22987
31:23.0,22987
31:23.2,22987
31:23.4,22987
31:23.6,22987
31:23.8,22987
31:24.0,22987
31:24.2,22987
31:24.4,22987
31:24.6,22987
31:24.8,22987
31:25.0,22987
31:25.2,22987
31:25.4,22987
31:25.6,22987
31:25.8,22851
31:26.0,22580
31:26.2,22267
31:26.4,21983
31:26.6,21663
31:26.8,21333
31:27.0,21024
31:27.2,20724
31:27.4,20461
31:27.6,20160
31:27.8,19842
31:28.0,19545
31:28.2,19263
31:28.4,18992
31:28.6,18680
31:28.8,18373
31:29.0,18067
31:29.2,17783
31:29.4,17510
31:29.6,17196
31:29.8,16877
31:30.0,16580
31:30.2,16302
31:30.4,16027
31:30.6,15715
31:30.8,15407
31:31.0,15107
31:31.2,14830
31:31.4,14546
31:31.6,14219
31:31.8,13907
31:32.0,13613
31:32.2,13349
31:32.4,13066
31:32.6,12758
31:32.8,12464
31:33.0,12177
31:33.2,11935
31:33.4,11687
31:33.6,11408
31:33.8,11130
31:34.0,11101
31:34.2,11101
31:34.4,11101
31:34.6,11101
31:34.8,11101
31:35.0,11101
31:35.2,11101
31:35.4,11101
31:35.6,11101
31:35.8,11101
31:36.0,11101
31:36.2,11101
31:36.4,11101
31:36.6,11101
31:36.8,11101
31:37.0,11131
31:37.2,11412
31:37.4,11718
31:37.6,12010
31:37.8,12299
31:38.0,12623
31:38.2,12967
31:38.4,13286
31:38.6,13566
31:38.8,13848
31:39.0,14177
31:39.2,14514
31:39.4,14810
31:39.6,15070
31:39.8,15356
31:40.0,15682
31:40.2,16012
31:40.4,16295
31:40.6,16560
31:40.8,16852
31:41.0,17182
31:41.2,17511
31:41.4,17794
31:41.6,18064
31:41.8,18385
31:42.0,18716
31:42.2,19042
31:42.4,19326
31:42.6,19610
31:42.8,19938
31:43.0,20285
31:43.2,20601
31:43.4,20887
31:43.6,21195
31:43.8,21543
31:44.0,21883
31:44.2,22183
31:44.4,22471
31:44.6,22804
31:44.8,23061
31:45.0,23058
31:45.2,23058
31:45.4,23058
31:45.6,23058
31:45.8,23058
31:46.0,23058
31:46.2,23058
31:46.4,23058
31:46.6,23058
31:46.8,23058
31:47.0,23058
31:47.2,23058
31:47.4,23058
31:47.6,23058
31:47.8,23058
31:48.0,23058
31:48.2,23008
31:48.4,22710
31:48.6,22388
31:48.8,22070
31:49.0,21754
31:49.2,21404
31:49.4,21084
31:49.6,20764
31:49.8,20495
31:50.0,20186
31:50.2,19854
31:50.4,19545
31:50.6,19250
31:50.8,18972
31:51.0,18650
31:51.2,18325
31:51.4,18007
31:51.6,17722
31:51.8,17429
31:52.0,17087
31:52.2,16772
31:52.4,16460
31:52.6,16191
31:52.8,15887
31:53.0,15555
31:53.2,15236
31:53.4,14935
31:53.6,14659
31:53.8,14333
31:54.0,14003
31:54.2,13684
31:54.4,13398
31:54.6,13117
31:54.8,12795
31:55.0,12486
31:55.2,12193
31:55.4,11942
31:55.6,11691
31:55.8,11403
31:56.0,11127
31:56.2,11089
31:56.4,11089
31:56.6,11089
31:56.8,11089
31:57.0,11089
31:57.2,11089
31:57.4,11089
31:57.6,11089
31:57.8,11089
31:58.0,11089
31:58.2,11089
31:58.4,11089
31:58.6,11089
31:58.8,11089
31:59.0,11089
31:59.2,11089
31:59.4,11173
31:59.6,11443
31:59.8,11746
32:00.0,12039
32:00.2,12326
32:00.4,12649
32:00.6,12992
32:00.8,13304
32:01.0,13584
32:01.2,13871
32:01.4,14196
32:01.6,14525
32:01.8,14820
32:02.0,15081
32:02.2,15370
32:02.4,15690
32:02.6,16017
32:02.8,16300
32:03.0,16567
32:03.1,16862
32:03.3,17185
32:03.5,17513
32:03.7,17797
32:03.9,18071
32:04.1,18384
32:04.3,18717
32:04.5,19039
32:04.8,19326
32:04.9,19610
32:05.1,19936
32:05.3,20273
32:05.5,20587
32:05.7,20874
32:05.9,21180
32:06.1,21522
32:06.3,21861
32:06.5,22161
32:06.7,22450
32:06.9,22780
32:07.1,23060
32:07.3,23060
32:07.5,23060
32:07.7,23060
32:07.9,23060
32:08.1,23060
32:08.3,23060
32:08.5,23060
32:08.7,23060
32:08.9,23060
32:09.1,23060
32:09.3,23060
32:09.5,23060
32:09.7,23060
32:09.9,23060
32:10.1,23060
32:10.3,23060
32:10.5,22965
32:10.7,22683
32:10.9,22372
32:11.1,22065
32:11.3,21760
32:11.5,21425
32:11.7,21115
32:11.9,20807
32:12.1,20534
32:12.3,20239
32:12.5,19922
32:12.7,19610
32:12.9,19325
32:13.1,19055
32:13.3,18751
32:13.5,18436
32:13.7,18131
32:13.9,17833
32:14.1,17563
32:14.3,17253
32:14.5,16932
32:14.7,16630
32:14.9,16341
32:15.1,16071
32:15.3,15755
32:15.5,15446
32:15.7,15140
32:15.9,14859
32:16.1,14575
32:16.3,14254
32:16.5,13943
32:16.7,13630
32:16.9,13360
32:17.1,13075
32:17.3,12760
32:17.5,12471
32:17.7,12183
32:17.9,11936
32:18.1,11684
32:18.3,11406
32:18.5,11137
32:18.7,11055
32:18.9,11055
32:19.1,11055
32:19.3,11055
32:19.5,11055
32:19.7,11055
32:19.9,11055
32:20.1,11055
32:20.3,11055
32:20.5,11055
32:20.7,11055
32:20.9,11055
32:21.1,11055
32:21.3,11055
32:21.5,11055
32:21.7,11182
32:21.9,11457
32:22.1,11760
32:22.3,12054
32:22.5,12342
32:22.7,12677
32:22.9,13027
32:23.1,13340
32:23.3,13617
32:23.5,13909
32:23.7,14240
32:23.9,14576
32:24.1,14864
