Date,Position [Encoder Input Ch:0 -> ENC1001 -> HUB0002 Port:0 S/N:750804]
2025-04-24 10:21:17.573120,0
2025-04-24 10:21:17.773120,0
2025-04-24 10:21:17.973120,0
2025-04-24 10:21:18.173120,0
2025-04-24 10:21:18.373120,0
2025-04-24 10:21:18.573120,0
2025-04-24 10:21:18.773120,0
2025-04-24 10:21:18.973120,0
2025-04-24 10:21:19.173120,0
2025-04-24 10:21:19.373120,0
2025-04-24 10:21:19.573120,0
2025-04-24 10:21:19.773120,0
2025-04-24 10:21:19.973120,0
2025-04-24 10:21:20.173120,0
2025-04-24 10:21:20.373120,0
2025-04-24 10:21:20.573120,0
2025-04-24 10:21:20.773120,0
2025-04-24 10:21:20.973120,0
2025-04-24 10:21:21.173120,0
2025-04-24 10:21:21.373120,0
2025-04-24 10:21:21.573120,0
2025-04-24 10:21:21.773120,0
2025-04-24 10:21:21.973120,0
2025-04-24 10:21:22.173120,0
2025-04-24 10:21:22.373120,0
2025-04-24 10:21:22.573120,0
2025-04-24 10:21:22.773120,0
2025-04-24 10:21:22.973120,0
2025-04-24 10:21:23.173120,0
2025-04-24 10:21:23.373120,0
2025-04-24 10:21:23.573120,0
2025-04-24 10:21:23.773120,0
2025-04-24 10:21:23.973120,0
2025-04-24 10:21:24.173120,0
2025-04-24 10:21:24.373120,0
2025-04-24 10:21:24.573120,0
2025-04-24 10:21:24.773120,0
2025-04-24 10:21:24.973120,0
2025-04-24 10:21:25.173120,0
2025-04-24 10:21:25.373120,0
2025-04-24 10:21:25.573120,0
2025-04-24 10:21:25.773120,0
2025-04-24 10:21:25.973120,0
2025-04-24 10:21:26.173120,0
2025-04-24 10:21:26.373120,0
2025-04-24 10:21:26.573120,0
2025-04-24 10:21:26.773120,0
2025-04-24 10:21:26.973120,0
2025-04-24 10:21:27.173120,0
2025-04-24 10:21:27.373120,0
2025-04-24 10:21:27.573120,0
2025-04-24 10:21:27.773120,0
2025-04-24 10:21:27.973120,0
2025-04-24 10:21:28.173120,0
2025-04-24 10:21:28.373120,0
2025-04-24 10:21:28.573120,0
2025-04-24 10:21:28.773120,0
2025-04-24 10:21:28.973120,0
2025-04-24 10:21:29.173120,0
2025-04-24 10:21:29.373120,0
2025-04-24 10:21:29.573120,0
2025-04-24 10:21:29.773120,0
2025-04-24 10:21:29.973120,0
2025-04-24 10:21:30.173120,0
2025-04-24 10:21:30.373120,0
2025-04-24 10:21:30.573120,0
2025-04-24 10:21:30.773120,0
2025-04-24 10:21:30.973120,0
2025-04-24 10:21:31.173120,0
2025-04-24 10:21:31.373120,0
2025-04-24 10:21:31.573120,0
2025-04-24 10:21:31.773120,0
2025-04-24 10:21:31.973120,0
2025-04-24 10:21:32.173120,0
2025-04-24 10:21:32.373120,0
2025-04-24 10:21:32.573120,0
2025-04-24 10:21:32.773120,0
2025-04-24 10:21:32.973120,0
2025-04-24 10:21:33.173120,0
2025-04-24 10:21:33.373120,0
2025-04-24 10:21:33.573120,0
2025-04-24 10:21:33.773120,0
2025-04-24 10:21:33.973120,0
2025-04-24 10:21:34.173120,0
2025-04-24 10:21:34.373120,0
2025-04-24 10:21:34.573120,0
2025-04-24 10:21:34.773120,0
2025-04-24 10:21:34.973120,0
2025-04-24 10:21:35.173120,0
2025-04-24 10:21:35.373120,0
2025-04-24 10:21:35.573120,0
2025-04-24 10:21:35.773120,0
2025-04-24 10:21:35.973120,0
2025-04-24 10:21:36.173120,0
2025-04-24 10:21:36.373120,0
2025-04-24 10:21:36.573120,0
2025-04-24 10:21:36.773120,0
2025-04-24 10:21:36.973120,0
2025-04-24 10:21:37.173120,0
2025-04-24 10:21:37.373120,0
2025-04-24 10:21:37.573120,0
2025-04-24 10:21:37.773120,0
2025-04-24 10:21:37.973120,0
2025-04-24 10:21:38.173120,0
2025-04-24 10:21:38.373120,0
2025-04-24 10:21:38.573120,0
2025-04-24 10:21:38.773120,0
2025-04-24 10:21:38.973120,0
2025-04-24 10:21:39.173120,307
2025-04-24 10:21:39.373120,558
2025-04-24 10:21:39.573120,853
2025-04-24 10:21:39.773120,1160
2025-04-24 10:21:39.973120,1512
2025-04-24 10:21:40.173120,1868
2025-04-24 10:21:40.373120,2172
2025-04-24 10:21:40.573120,2468
2025-04-24 10:21:40.773120,2800
2025-04-24 10:21:40.973120,3144
2025-04-24 10:21:41.173120,3458
2025-04-24 10:21:41.373120,3727
2025-04-24 10:21:41.573120,4009
2025-04-24 10:21:41.773120,4333
2025-04-24 10:21:41.973120,4672
2025-04-24 10:21:42.173120,4971
2025-04-24 10:21:42.373120,5243
2025-04-24 10:21:42.573120,5543
2025-04-24 10:21:42.773120,5881
2025-04-24 10:21:42.973120,6219
2025-04-24 10:21:43.173120,6509
2025-04-24 10:21:43.373120,6795
2025-04-24 10:21:43.573120,7126
2025-04-24 10:21:43.773120,7474
2025-04-24 10:21:43.973120,7799
2025-04-24 10:21:44.173120,8088
2025-04-24 10:21:44.373120,8402
2025-04-24 10:21:44.573120,8745
2025-04-24 10:21:44.773120,9096
2025-04-24 10:21:44.973120,9400
2025-04-24 10:21:45.173120,9709
2025-04-24 10:21:45.373120,10056
2025-04-24 10:21:45.573120,10417
2025-04-24 10:21:45.773120,10740
2025-04-24 10:21:45.973120,11043
2025-04-24 10:21:46.173120,11375
2025-04-24 10:21:46.373120,11731
2025-04-24 10:21:46.573120,12063
2025-04-24 10:21:46.773120,12345
2025-04-24 10:21:46.973120,12635
2025-04-24 10:21:47.173120,12772
2025-04-24 10:21:47.373120,12772
2025-04-24 10:21:47.573120,12772
2025-04-24 10:21:47.773120,12772
2025-04-24 10:21:47.973120,12772
2025-04-24 10:21:48.173120,12772
2025-04-24 10:21:48.373120,12772
2025-04-24 10:21:48.573120,12772
2025-04-24 10:21:48.773120,12772
2025-04-24 10:21:48.973120,12772
2025-04-24 10:21:49.173120,12772
2025-04-24 10:21:49.373120,12772
2025-04-24 10:21:49.573120,12772
2025-04-24 10:21:49.773120,12772
2025-04-24 10:21:49.973120,12772
2025-04-24 10:21:50.173120,12772
2025-04-24 10:21:50.373120,12570
2025-04-24 10:21:50.573120,12279
2025-04-24 10:21:50.773120,11973
2025-04-24 10:21:50.973120,11633
2025-04-24 10:21:51.173120,11299
2025-04-24 10:21:51.373120,10965
2025-04-24 10:21:51.573120,10655
2025-04-24 10:21:51.773120,10350
2025-04-24 10:21:51.973120,10030
2025-04-24 10:21:52.173120,9713
2025-04-24 10:21:52.373120,9410
2025-04-24 10:21:52.573120,9119
2025-04-24 10:21:52.773120,8806
2025-04-24 10:21:52.973120,8489
2025-04-24 10:21:53.173120,8172
2025-04-24 10:21:53.373120,7867
2025-04-24 10:21:53.573120,7570
2025-04-24 10:21:53.773120,7248
2025-04-24 10:21:53.973120,6925
2025-04-24 10:21:54.173120,6616
2025-04-24 10:21:54.373120,6315
2025-04-24 10:21:54.573120,6003
2025-04-24 10:21:54.773120,5678
2025-04-24 10:21:54.973120,5361
2025-04-24 10:21:55.173120,5049
2025-04-24 10:21:55.373120,4754
2025-04-24 10:21:55.573120,4440
2025-04-24 10:21:55.773120,4123
2025-04-24 10:21:55.973120,3803
2025-04-24 10:21:56.173120,3503
2025-04-24 10:21:56.373120,3201
2025-04-24 10:21:56.573120,2870
2025-04-24 10:21:56.773120,2555
2025-04-24 10:21:56.973120,2239
2025-04-24 10:21:57.173120,1947
2025-04-24 10:21:57.373120,1651
2025-04-24 10:21:57.573120,1344
2025-04-24 10:21:57.773120,1044
2025-04-24 10:21:57.973120,753
2025-04-24 10:21:58.173120,494
2025-04-24 10:21:58.373120,227
2025-04-24 10:21:58.573120,145
2025-04-24 10:21:58.773120,145
2025-04-24 10:21:58.973120,145
2025-04-24 10:21:59.173120,145
2025-04-24 10:21:59.373120,145
2025-04-24 10:21:59.573120,145
2025-04-24 10:21:59.773120,145
2025-04-24 10:21:59.973120,145
2025-04-24 10:22:00.173120,145
2025-04-24 10:22:00.373120,145
2025-04-24 10:22:00.573120,145
2025-04-24 10:22:00.773120,145
2025-04-24 10:22:00.973120,145
2025-04-24 10:22:01.173120,145
2025-04-24 10:22:01.373120,145
2025-04-24 10:22:01.573120,397
2025-04-24 10:22:01.773120,639
2025-04-24 10:22:01.973120,934
2025-04-24 10:22:02.173120,1254
2025-04-24 10:22:02.373120,1610
2025-04-24 10:22:02.573120,1961
2025-04-24 10:22:02.773120,2266
2025-04-24 10:22:02.973120,2575
2025-04-24 10:22:03.173120,2911
2025-04-24 10:22:03.373120,3255
2025-04-24 10:22:03.573120,3553
2025-04-24 10:22:03.773120,3825
2025-04-24 10:22:03.922961,4124
2025-04-24 10:22:04.122771,4452
2025-04-24 10:22:04.322336,4786
2025-04-24 10:22:04.521992,5071
2025-04-24 10:22:04.721835,5347
2025-04-24 10:22:04.921651,5665
2025-04-24 10:22:05.121436,6010
2025-04-24 10:22:05.320922,6336
2025-04-24 10:22:05.520924,6615
2025-04-24 10:22:05.720494,6916
2025-04-24 10:22:05.920297,7254
2025-04-24 10:22:06.119997,7599
2025-04-24 10:22:06.319989,7904
2025-04-24 10:22:06.519575,8197
2025-04-24 10:22:06.722514,8525
2025-04-24 10:22:06.919339,8881
2025-04-24 10:22:07.119006,9215
2025-04-24 10:22:07.319785,9517
2025-04-24 10:22:07.518816,9840
2025-04-24 10:22:07.718237,10193
2025-04-24 10:22:07.917871,10550
2025-04-24 10:22:08.117967,10859
2025-04-24 10:22:08.317613,11171
2025-04-24 10:22:08.517254,11513
2025-04-24 10:22:08.717283,11868
2025-04-24 10:22:08.916938,12179
2025-04-24 10:22:09.116727,12461
2025-04-24 10:22:09.316521,12767
2025-04-24 10:22:09.516275,12934
2025-04-24 10:22:09.716141,12934
2025-04-24 10:22:09.915784,12934
2025-04-24 10:22:10.115664,12934
2025-04-24 10:22:10.315305,12934
2025-04-24 10:22:10.515267,12934
2025-04-24 10:22:10.715120,12934
2025-04-24 10:22:10.914960,12934
2025-04-24 10:22:11.114499,12934
