Date,Position [Encoder Input Ch:0 -> ENC1001 -> HUB0002 Port:0 S/N:750804]
47:57.2,0
47:57.4,0
47:57.6,0
47:57.8,0
47:58.0,0
47:58.2,0
47:58.4,0
47:58.6,0
47:58.8,0
47:59.0,0
47:59.2,0
47:59.4,0
47:59.6,0
47:59.8,0
48:00.0,0
48:00.2,0
48:00.4,0
48:00.6,0
48:00.8,0
48:01.0,0
48:01.2,0
48:01.4,0
48:01.6,0
48:01.8,0
48:02.0,0
48:02.2,0
48:02.4,0
48:02.6,0
48:02.8,0
48:03.0,0
48:03.2,0
48:03.4,0
48:03.6,0
48:03.8,0
48:04.0,0
48:04.2,0
48:04.4,0
48:04.6,0
48:04.8,0
48:05.0,0
48:05.2,0
48:05.4,0
48:05.6,0
48:05.8,0
48:06.0,0
48:06.2,0
48:06.4,0
48:06.6,0
48:06.8,0
48:07.0,0
48:07.2,0
48:07.4,0
48:07.6,0
48:07.8,0
48:08.0,0
48:08.2,0
48:08.4,0
48:08.6,0
48:08.8,0
48:09.0,0
48:09.2,0
48:09.4,0
48:09.6,0
48:09.8,0
48:10.0,0
48:10.2,0
48:10.4,0
48:10.6,0
48:10.8,0
48:11.0,0
48:11.2,0
48:11.4,0
48:11.6,0
48:11.8,0
48:12.0,0
48:12.2,0
48:12.4,0
48:12.6,0
48:12.8,0
48:13.0,0
48:13.2,0
48:13.4,0
48:13.6,0
48:13.8,0
48:14.0,0
48:14.2,0
48:14.4,0
48:14.6,0
48:14.8,0
48:15.0,0
48:15.2,0
48:15.4,0
48:15.6,203
48:15.8,587
48:16.0,966
48:16.2,1350
48:16.4,1724
48:16.6,2122
48:16.8,2490
48:17.0,2849
48:17.2,3200
48:17.4,3574
48:17.6,3934
48:17.8,4285
48:18.0,4649
48:18.2,5016
48:18.4,5378
48:18.6,5737
48:18.8,6101
48:19.0,6481
48:19.2,6848
48:19.4,7209
48:19.6,7579
48:19.8,7960
48:20.0,8327
48:20.2,8693
48:20.4,9074
48:20.6,9461
48:20.8,9835
48:21.0,10198
48:21.2,10570
48:21.4,10947
48:21.6,11162
48:21.8,11166
48:22.0,11166
48:22.2,11166
48:22.4,11166
48:22.6,11166
48:22.8,11166
48:23.0,11166
48:23.2,11166
48:23.4,11166
48:23.6,11166
48:23.8,11166
48:24.0,11166
48:24.2,11166
48:24.4,11166
48:24.6,11166
48:24.8,10995
48:25.0,10613
48:25.2,10240
48:25.4,9862
48:25.6,9491
48:25.8,9112
48:26.0,8747
48:26.2,8397
48:26.4,8049
48:26.6,7684
48:26.8,7331
48:27.0,6978
48:27.2,6628
48:27.4,6263
48:27.6,5906
48:27.8,5548
48:28.0,5196
48:28.2,4830
48:28.4,4472
48:28.6,4115
48:28.8,3763
48:29.0,3403
48:29.2,3038
48:29.4,2688
48:29.6,2341
48:29.8,1966
48:30.0,1608
48:30.2,1254
48:30.4,913
48:30.6,570
48:30.8,218
48:31.0,89
48:31.2,89
48:31.4,89
48:31.6,89
48:31.8,89
48:32.0,89
48:32.2,89
48:32.4,89
48:32.6,89
48:32.8,89
48:33.0,89
48:33.2,89
48:33.4,89
48:33.6,89
48:33.8,89
48:34.0,89
48:34.2,89
48:34.4,89
48:34.6,89
48:34.8,89
48:35.0,228
48:35.2,614
48:35.4,984
48:35.6,1351
48:35.8,1726
48:36.0,2113
48:36.2,2491
48:36.4,2847
48:36.6,3199
48:36.8,3562
48:37.0,3920
48:37.2,4270
48:37.4,4613
48:37.6,4984
48:37.8,5342
48:38.0,5699
48:38.2,6051
48:38.4,6426
48:38.6,6787
48:38.8,7145
48:39.0,7504
48:39.2,7882
48:39.4,8248
48:39.6,8605
48:39.8,8983
48:40.0,9358
48:40.2,9737
48:40.4,10092
48:40.6,10456
48:40.8,10836
48:41.0,11197
48:41.2,11327
48:41.4,11327
48:41.6,11327
48:41.8,11327
48:42.0,11327
48:42.2,11327
48:42.4,11327
48:42.6,11327
48:42.8,11327
48:43.0,11327
48:43.2,11327
48:43.4,11327
48:43.6,11327
48:43.8,11327
48:44.0,11327
48:44.2,11327
48:44.4,11327
48:44.6,11327
48:44.8,11327
48:45.0,11327
48:45.2,11226
48:45.4,10844
48:45.6,10462
48:45.8,10077
48:46.0,9706
48:46.2,9329
48:46.4,8954
48:46.6,8598
48:46.8,8255
48:47.0,7895
48:47.2,7529
48:47.4,7179
48:47.6,6832
48:47.8,6467
48:48.0,6106
48:48.2,5749
48:48.4,5397
48:48.6,5034
48:48.8,4665
48:49.0,4306
48:49.2,3960
48:49.4,3599
48:49.6,3233
48:49.8,2878
48:50.0,2530
48:50.2,2166
48:50.4,1795
48:50.6,1434
48:50.8,1097
48:51.0,754
48:51.2,405
48:51.4,78
48:51.6,79
48:51.8,79
48:52.0,79
48:52.2,79
48:52.4,79
48:52.6,79
48:52.8,79
48:53.0,79
48:53.2,79
48:53.4,79
48:53.6,79
48:53.8,79
48:54.0,79
48:54.2,79
48:54.4,79
48:54.6,79
48:54.8,79
48:55.0,79
48:55.2,79
48:55.4,79
48:55.6,395
48:55.8,775
48:56.0,1144
48:56.2,1516
48:56.4,1897
48:56.6,2283
48:56.8,2649
48:57.0,2995
48:57.2,3357
48:57.4,3718
48:57.6,4074
48:57.8,4418
48:58.0,4780
48:58.2,5145
48:58.4,5501
48:58.6,5851
48:58.8,6219
48:59.0,6589
48:59.2,6945
48:59.4,7301
48:59.6,7663
48:59.8,8039
49:00.0,8400
49:00.2,8758
49:00.4,9134
49:00.6,9515
49:00.8,9885
49:01.0,10242
49:01.2,10618
49:01.4,10991
49:01.6,11316
49:01.8,11313
49:02.0,11313
49:02.2,11313
49:02.4,11313
49:02.6,11313
49:02.8,11313
49:03.0,11313
49:03.2,11313
49:03.4,11313
49:03.6,11313
49:03.8,11313
49:04.0,11313
49:04.2,11313
49:04.4,11313
49:04.6,11313
49:04.8,11313
49:04.9,11313
49:05.1,11313
49:05.3,11313
49:05.5,11313
49:05.7,11028
49:05.9,10649
49:06.1,10272
49:06.3,9896
49:06.5,9526
49:06.7,9146
49:06.9,8777
49:07.1,8434
49:07.3,8085
49:07.5,7717
49:07.7,7367
49:07.9,7011
49:08.1,6665
49:08.3,6298
49:08.5,5942
49:08.7,5584
49:08.9,5233
49:09.1,4862
49:09.3,4498
49:09.5,4146
49:09.7,3799
49:09.9,3430
49:10.1,3063
49:10.3,2715
49:10.5,2365
49:10.7,1991
49:10.9,1635
49:11.1,1277
49:11.3,940
49:11.5,597
49:11.7,251
49:11.9,249
49:12.1,249
49:12.3,249
49:12.5,249
49:12.7,249
49:12.9,249
49:13.1,249
49:13.3,249
49:13.5,249
49:13.7,249
49:13.9,249
49:14.1,249
49:14.3,249
49:14.5,249
49:14.7,249
49:14.9,249
49:15.1,249
49:15.3,249
49:15.5,249
49:15.7,249
49:15.9,513
49:16.1,894
49:16.3,1266
49:16.5,1650
49:16.7,2048
49:16.9,2430
49:17.1,2804
49:17.3,3157
49:17.5,3533
49:17.7,3892
49:17.9,4255
49:18.1,4606
49:18.3,4978
49:18.5,5349
49:18.7,5704
49:18.9,6062
49:19.1,6446
49:19.3,6817
49:19.5,7177
49:19.7,7543
49:19.9,7928
49:20.1,8300
49:20.3,8666
49:20.5,9051
49:20.7,9444
49:20.9,9821
49:21.1,10187
49:21.3,10574
49:21.5,10951
49:21.7,11314
49:21.9,11459
49:22.1,11459
49:22.3,11459
49:22.5,11459
49:22.7,11459
49:22.9,11459
49:23.1,11459
49:23.3,11459
49:23.5,11459
49:23.7,11459
49:23.9,11459
49:24.1,11459
49:24.3,11459
49:24.5,11459
49:24.7,11459
49:24.9,11459
49:25.1,11459
49:25.3,11459
49:25.5,11459
49:25.7,11459
49:25.9,11459
49:26.1,11232
49:26.3,10852
49:26.5,10464
49:26.7,10075
49:26.9,9700
49:27.1,9321
49:27.3,8945
49:27.5,8589
49:27.7,8237
49:27.9,7866
49:28.1,7502
49:28.3,7141
49:28.5,6791
49:28.7,6418
49:28.9,6051
49:29.1,5695
49:29.3,5339
49:29.5,4967
49:29.7,4593
49:29.9,4231
49:30.1,3886
49:30.3,3517
49:30.5,3151
49:30.7,2786
49:30.9,2432
49:31.1,2059
49:31.3,1686
49:31.5,1330
49:31.7,990
49:31.9,637
49:32.1,290
49:32.3,210
49:32.5,210
49:32.7,210
49:32.9,210
49:33.1,210
49:33.3,210
49:33.5,210
49:33.7,210
49:33.9,210
49:34.1,210
49:34.3,210
49:34.5,210
49:34.7,210
49:34.9,210
49:35.1,210
49:35.3,210
49:35.5,210
49:35.7,210
49:35.9,210
49:36.1,210
49:36.3,429
49:36.5,809
49:36.7,1186
49:36.9,1559
49:37.1,1954
49:37.3,2345
49:37.5,2718
49:37.7,3073
49:37.9,3452
49:38.1,3816
49:38.3,4171
49:38.5,4522
49:38.7,4897
49:38.9,5265
49:39.1,5628
49:39.3,5983
49:39.5,6364
49:39.7,6735
49:39.9,7103
49:40.1,7470
49:40.3,7851
49:40.5,8221
49:40.7,8597
49:40.9,8968
49:41.1,9365
49:41.3,9747
49:41.5,10115
49:41.7,10491
49:41.9,10873
49:42.1,11239
49:42.3,11429
49:42.5,11429
49:42.7,11429
49:42.9,11429
49:43.1,11429
49:43.3,11429
49:43.5,11429
49:43.7,11429
49:43.9,11429
49:44.1,11429
49:44.3,11429
49:44.5,11429
49:44.7,11429
49:44.9,11429
49:45.1,11429
49:45.3,11429
49:45.5,11429
49:45.7,11429
49:45.9,11429
49:46.1,11429
49:46.3,11429
49:46.5,11265
49:46.7,10885
49:46.9,10490
49:47.1,10104
49:47.3,9728
49:47.5,9348
49:47.7,8971
49:47.9,8610
49:48.1,8260
49:48.3,7889
49:48.5,7521
49:48.7,7163
49:48.9,6813
49:49.1,6441
49:49.3,6075
49:49.5,5711
49:49.7,5360
49:49.9,4986
49:50.1,4615
49:50.3,4250
49:50.5,3902
49:50.7,3534
49:50.9,3160
49:51.1,2798
49:51.3,2449
49:51.5,2074
49:51.7,1701
49:51.9,1342
49:52.1,1005
49:52.3,651
49:52.5,296
49:52.7,200
49:52.9,200
49:53.1,200
49:53.3,200
49:53.5,200
49:53.7,200
49:53.9,200
49:54.1,200
49:54.3,200
49:54.5,200
49:54.7,200
49:54.9,200
49:55.1,200
49:55.3,200
49:55.5,200
49:55.7,200
49:55.9,200
49:56.1,200
49:56.3,200
49:56.5,200
49:56.7,352
49:56.9,741
49:57.1,1120
49:57.3,1490
49:57.5,1879
49:57.7,2278
49:57.9,2653
49:58.1,3006
49:58.3,3373
49:58.5,3742
49:58.7,4101
49:58.9,4452
49:59.1,4821
49:59.3,5191
49:59.5,5556
49:59.7,5908
49:59.9,6285
50:00.1,6659
50:00.3,7024
50:00.5,7387
50:00.7,7770
50:00.9,8146
50:01.1,8521
50:01.3,8890
50:01.5,9283
50:01.7,9673
50:01.9,10037
50:02.1,10407
50:02.3,10795
50:02.5,11166
50:02.7,11417
50:02.9,11413
50:03.1,11413
50:03.3,11413
50:03.5,11413
50:03.7,11413
50:03.9,11413
50:04.1,11413
50:04.3,11413
50:04.5,11413
50:04.7,11413
50:04.9,11413
50:05.1,11413
50:05.3,11413
50:05.5,11413
50:05.7,11413
50:05.9,11413
50:06.1,11413
50:06.3,11413
50:06.5,11413
50:06.7,11413
50:06.9,11301
50:07.1,10921
50:07.3,10534
50:07.5,10150
50:07.7,9765
50:07.9,9391
50:08.1,9006
50:08.3,8643
50:08.5,8294
50:08.7,7930
50:08.9,7561
50:09.1,7199
50:09.3,6847
50:09.5,6481
50:09.7,6107
50:09.9,5747
50:10.1,5395
50:10.3,5026
50:10.5,4651
50:10.7,4291
50:10.9,3938
50:11.1,3572
50:11.3,3197
50:11.5,2838
50:11.7,2490
50:11.9,2117
50:12.1,1742
50:12.3,1382
50:12.5,1043
50:12.7,692
50:12.9,336
50:13.1,164
50:13.3,163
50:13.5,163
50:13.7,163
50:13.9,163
50:14.1,163
50:14.3,163
50:14.5,163
50:14.6,163
50:14.8,163
50:15.0,163
50:15.2,163
50:15.4,163
50:15.6,163
50:15.8,163
50:16.0,163
50:16.2,163
50:16.4,163
50:16.6,163
50:16.8,163
50:17.0,250
50:17.2,645
50:17.4,1020
50:17.6,1394
50:17.8,1780
50:18.0,2179
50:18.2,2557
50:18.4,2917
50:18.6,3275
50:18.8,3655
50:19.0,4014
50:19.2,4365
50:19.4,4727
50:19.6,5096
50:19.8,5462
50:20.0,5816
50:20.2,6187
50:20.4,6562
50:20.6,6926
50:20.8,7286
50:21.0,7661
50:21.2,8042
50:21.4,8412
50:21.6,8778
50:21.8,9169
50:22.0,9553
50:22.2,9929
50:22.4,10299
50:22.6,10683
50:22.8,11054
50:23.0,11359
50:23.2,11359
50:23.4,11359
50:23.6,11359
50:23.8,11359
50:24.0,11359
50:24.2,11359
50:24.4,11359
50:24.6,11359
50:24.8,11359
50:25.0,11359
50:25.2,11359
50:25.4,11359
50:25.6,11359
50:25.8,11359
50:26.0,11359
50:26.2,11359
50:26.4,11359
50:26.6,11359
50:26.8,11359
50:27.0,11359
50:27.2,11298
50:27.4,10915
50:27.6,10525
50:27.8,10136
50:28.0,9764
50:28.2,9379
50:28.4,9001
50:28.6,8637
50:28.8,8286
50:29.0,7922
50:29.2,7552
50:29.4,7193
50:29.6,6839
50:29.8,6474
50:30.0,6107
50:30.2,5745
50:30.4,5388
50:30.6,5023
50:30.8,4646
50:31.0,4290
50:31.2,3941
50:31.4,3575
50:31.6,3208
50:31.8,2844
50:32.0,2494
50:32.2,2120
50:32.4,1749
